Fiscal Year ,Summary Report Date,Date of Incident,Company,Preliminary Description of Incident
FY 2010,05/22/10,05/20/10,"Artic Car Sales, Inc., Rapid City, SD  57701",Worker was crushed by an all-terrain vehicle (ATV) after it rolled over during a photo shoot.
FY 2010,05/22/10,05/20/10,"CBI Services, East Windsor, NJ  08520",Worker was inside a water tower ascending a ladder and fell.
FY 2010,05/22/10,05/20/10,"National Park Service, American Fork, UT  84003","Worker was riding a motorized bike up a trail and went off the edge of the trail, falling 1000 feet."
FY 2010,05/22/10,05/20/10,"Nordpal Corporation, Galesburg, IL  61401","Worker was repairing a large overhead hanger door, and was later found caught in the folded door."
FY 2010,05/22/10,05/21/10,"Trinity Marine Products Inc., Madisonville, LA  70447","Worker was fitting and welding into place a center line frame on a barge.  The frame fell on the worker, crushing the worker."
FY 2010,05/29/10,01/19/10,"Sabinsa Corp., Payson, UT 84651",Worker died after inhaling a selenium compound.
FY 2010,05/29/10,05/19/10,"Louisville Metro Public Works & Assets Department, Louisville, KY 40217",Sanitation worker died after being struck by a garbage truck.
FY 2010,05/29/10,05/22/10,"Brinkley Farms, Dos Palos, CA 93620","Worker servicing the hydraulic system on cultivator tractor, was crushed by the cultivator tractor tire."
FY 2010,05/29/10,05/22/10,"Scales Mound Fire Department, Scales Mound, IL 61075",Worker searching for missing person was killed when his all-terrain vehicle (ATV) struck a deer and rolled over.
FY 2010,05/29/10,05/23/10,"Cirrus Flight Operations, Blaine, MN 55449",Worker was refueling trucks used to refuel airplanes.  Worker was found dead on top of a truck with his head in the refueling hole.
FY 2010,05/29/10,05/23/10,"Unilever, Hammond, IN 46320","Worker servicing an 800-pound temperature probe/agitator, used to mix contents in rail cars, died after being hit/crushed by the agitator.  Safety latch on a jib crane failed."
FY 2010,05/29/10,05/24/10,"Done-Rite Tree Company, Inc., Caldwell, ID  83605","Worker was using a chainsaw to cut through a tree stump when the chainsaw got stuck in the stump.  A skid steer with a grapple attachment was used to push against the stump to free the chainsaw. The worker motioned for more pressure on the stump, and then he bent down and forward to look at the chainsaw.  The grapple cycle shot, striking the worker in the temple area."
FY 2010,05/29/10,05/24/10,"Doran's Inc., North Haven, CT  06473",Worker was stabbed by patron with a knife.
FY 2010,05/29/10,05/24/10,"GBC Metals LLC., dba Olin Brass Somers Thin Strip, Waterbury, CT  06720",Worker was performing a heat change on a furnace and was running the product.  Worker was later found caught up in the rolls of the bridle.
FY 2010,05/29/10,05/25/10,"Design Metals, Columbia, MO  65203","Working was removing roof panels, became tangled with either an electrical cord or rope.  He disconnected his fall protection to untangle it, stepped back and fell through a section of the roof that had been removed, falling 23 to 25 feet to the concrete below."
FY 2010,05/29/10,05/27/10,"ESCO, Windsor, CT  06095","Worker was working on an electrical system.  Unknown whether the worker sustained injuries from an electrical shock, natural causes, or a fall from a ladder."
FY 2010,05/29/10,05/27/10,"Roth Metal Works, Brooklyn, NY  11205",Worker doing steel erection fell 60 feet from a structural steel beam.
FY 2010,05/29/10,05/28/10,"AAA Asphalt Paving, Inc., Pasadena, TX  77502",Worker was probing a ditch for gas lines and was struck by a vehicle.
FY 2010,05/29/10,05/28/10,"Chalfont Custom Painting, Chalfont, PA  18914",Worker was trimming branches from a tree using a metal painter's pole near a 2400 Volt electrical wire.  Worker was later found on the ground at the bottom of the ladder.  Worker was electrocuted.
FY 2010,05/29/10,05/28/10,"Paul Construction Company LLC, Mountain Home, AR  72653",Worker was installing new cell phone cables and antennas.  He was descending the tower and fell 240 feet.
FY 2010,06/05/10,12/23/09,"Diamond D Ranch, Inc., Stanley, ID 83278",Worker was operating a front end loader on a narrow mountain road and the loader rolled over.
FY 2010,06/05/10,03/27/10,"Wada Farms Potatoes Inc., Pingree, ID 83262",Worker fell 10 feet from a bin.
FY 2010,06/05/10,03/28/10,"High Sierra Energy, LP, Wheeler, TX 79096","Worker was transferring liquid petroleum from a tank battery to his tanker truck, and an explosion/fire occurred."
FY 2010,06/05/10,03/29/10,"MOC, Inc., Pittsburgh, PA 15219",Worker fell from the roof of a 55-story office building.
FY 2010,06/05/10,03/31/10,"Advanced Composites, Inc., Sidney, OH 45365",Worker was operating a forklift. She was caught/crushed between the forklift and a stack of palletized Gaylord boxes containing plastic pellets.
FY 2010,06/05/10,03/31/10,"Jim Hovis dba Hovis Transportation, Champaign, IL 61822",Worker was delivering a semi-trailer load of pallets to a warehouse and was run over by his truck.
FY 2010,06/05/10,03/31/10,"Mill Run Logging, Inc., Tioga, WV 26691","Worker was cutting a felled tree. The tree fell into a larger adjacent tree, striking the worker."
FY 2010,06/05/10,03/31/10,"Planters Cotton Oil Mill, Inc., Pine Bluff, AR 71601","Worker was assisting in cleaning the clean-up room, and was having trouble breathing. Worker had an asthma attack."
FY 2010,06/05/10,05/20/10,"Clark County Child Support-Family Support Division, Las Vegas, NV 89119","Worker died from heart failure, several days after suffering 3 broken ribs from falling on the floor on the way to the restroom."
FY 2010,06/05/10,05/26/10,"Champion Cooler Corp., Denison, TX 76020",Worker collapsed in men's bathroom due to a massive stroke.
FY 2010,06/05/10,05/26/10,"Unknown (TBD - possibly friend of homeowner), Abington, PA 19001","Worker was not wearing a harness, 20 feet in the air, cutting a tree limb, the limb broke, swung around and knocked the worker from the ladder he was working from."
FY 2010,06/05/10,05/27/10,"Heckert Construction, Pittsburg, KS 66762","Worker was standing on the ground, tarping his truck with a roll of overtarping, and fell backwards striking his head on the pavement."
FY 2010,06/05/10,05/27/10,"Randy Morris Logging, Waynesboro, TN 38485","Worker was topping a tree while a second worker was felling another tree. The tree being felled, twisted and struck the first worker topping a tree."
FY 2010,06/05/10,05/28/10,"Triad International Maintenance Corporation, Greensboro, NC 27410",Worker died after falling 30 feet from a floor opening on a mobile scaffold while performing maintenance on an aircraft.
FY 2010,06/05/10,05/29/10,"Windsor Door Sales, Inc., Albuquerque NM 87114","Worker repairing an overhead garage door, fell from the ladder and struck his head."
FY 2010,06/05/10,05/30/10,"Unit Texas Drilling, LLC, Cleburn, TX 76033",Worker rigging-up; fell 90 feet to the derrick floor.
FY 2010,06/05/10,06/01/10,"Bulk Transport Corporation, Michigan City, IN 46360",Mechanic was crushed under an unsecured forklift that he was working on.
FY 2010,06/05/10,06/01/10,"Francois Lessard, T3R13, ME 04462",Worker was operating a propane cook stove and was severely burned after the propane gas system ignited causing a fire and/or explosion.
FY 2010,06/05/10,06/01/10,"Jennings Implement Co., Bement, IL 61813-1347",Worker was working on a chisel plow. He became trapped between the tire and the plow.
FY 2010,06/05/10,06/01/10,"L & S Packing Company, Inc., East Farmingdale, NY 11735",Worker was putting labels on boxes and was crushed by falling pallets.
FY 2010,06/05/10,06/01/10,"Mankato Place Ramp, Mankato, MN 56001",Worker died after falling from a 5-story ramp.
FY 2010,06/05/10,06/01/10,"Sobarea Ranch, Fremont, CA 94539",Farm worker climbed onto stack of hay and fell into the hay baling machine.
FY 2010,06/05/10,06/01/10,"Universal Maintenance Services dba APM Terminals, La Porte, TX 77571",Worker was removing a sign from the front of her truck and was struck by another truck.
FY 2010,06/05/10,06/02/10,"Express Energy Services, Azle, TX 76020","Worker was trying to stab a pipe into the bottom of an elevator. The bottom bale of the elevator struck the pipe and swung into the worker, striking the worker on the face/head."
FY 2010,06/05/10,06/02/10,"Feher Rubbish Removal Inc., Canastota, NY 13032",Worker was caught and crushed between rails of a roll container truck.
FY 2010,06/05/10,06/02/10,"N.C. Department of Transportation, Wilmington, NC 28401","One worker was killed and another was injured when they were struck by a tractor trailer on Interstate 40, as they were closing a lane preparing to start bridge construction."
FY 2010,06/05/10,06/02/10,"Rocha Construction, Lees Summit, MO 64086","Worker was engaged in the setting of a structural steel beam, either fell on top or was struck by the beam as it fell from the top of a concrete basement wall."
FY 2010,06/05/10,06/03/10,"Delta Airlines, Madison, WI 53704",Worker was cleaning planes and was exposed to chemicals.
FY 2010,06/12/10,05/22/10,"Viper Construction, Wayne, PA 19087","Worker was climbing down a ladder with tools in his hand and slipped through the ladder, fell backwards, striking his head."
FY 2010,06/12/10,05/26/10,"Unknown (TBD), Muncie, IN 47303",Plumber working in a well was overcome by muriatic acid fumes. Passerby trying to rescue him was overcome and later died. Two volunteer firefighters were hospitalized. Plumber may have been off duty.
FY 2010,06/12/10,05/26/10,"Watson Tree Service, Henderson, TX 75654",Worker was trimming a tree and received an electrical shock.
FY 2010,06/12/10,06/03/10,"Sabra, Wang & Associates, Inc., Annapolis, MD 21401",Worker died after being struck and run over by an unknown motor vehicle that kept going; worker was thrown into the center lane and run over a second time by a tractor trailer.
FY 2010,06/12/10,06/05/10,"Swift Transportation, Phoenix, AZ 85038",Worker died after tractor trailer he was driving ran off the road and turned over.
FY 2010,06/12/10,06/07/10,"C & H Power Line Construction, Co., Cleburne, TX 76033","Worker was performing drilling operations with an auger-type drilling machine to install and set utility poles into the ground. During the drilling process, a high pressure liquefied natural gas pipeline was struck and ruptured. One fatality and six wor"
FY 2010,06/12/10,06/07/10,"Dryden Diving, Buchanan, NY 10511",Worker was performing repairs under water.
FY 2010,06/12/10,06/07/10,"Melga Sales Corp, Brooklyn, NY 11231",Worker was reglazing a bathtub and was found dead.
FY 2010,06/12/10,06/07/10,"Premier Maintenance, Inc., Milford, CT 06460","Worker was power washing a three-story house and was moving a ladder, lost his hold, the ladder went back hitting a primary conductive power line. Worker was electrocuted."
FY 2010,06/12/10,06/07/10,"Tampa Electric Company, Tampa, FL 33602",Worker contacted a power transmission line.
FY 2010,06/12/10,06/07/10,"The Grain Systems, Inc., Newton, IL 62448",Worker was operating an automated laser cutter and became caught in a pinch point after the structure that holds the laser cutter moved to the right front area near the metal structure of the machine.
FY 2010,06/12/10,06/07/10,"Travel Centers of America, North Haven, CT 06473",Worker was in the process of filling fuel into a tractor trailer and was struck by another tractor trailer.
FY 2010,06/12/10,06/08/10,"Diego Landscaping Services, Inc., Miami, FL 33133",Worker was working from a mango tree; his pruner struck an overhead powerline and he was electrocuted.
FY 2010,06/12/10,06/08/10,"Jimmy Ray Adams, Washington, NC 27889",Residential construction worker doing framing fell from a makeshift scaffold.
FY 2010,06/12/10,06/08/10,"KSM Construction, Alhambra, CA 91803",Worker died after falling unconscious while moving a pry bar during welding activities.
FY 2010,06/12/10,06/08/10,"Nick Thomas Inc., Canadian, TX 79014","Workers were excavating caliche for an oil field location pad. The bulldozer nicked an unidentified pipeline, resulting in an explosion. Two worker fatalities and one worker was hospitalized."
FY 2010,06/12/10,06/08/10,"Trafalgar Supply Company, Plant City, FL 33566",Worker had delivered a load of steel tubing on a flat bed trailer and was struck by a bundle of steel tubing that was being off-loaded.
